party,support,last,year,month,gov,month_cycle,cycle_constant,cycle,inflats_m_basevalue,inflats_m,unemp,gdpgr,gdpgr_yearly,skp_yearly,support_lag1,bruto,bruto_yearly,inflats_prevyear_base,alko_suits_base,alko_suits_prevyear,eluase_base,eluase_prevyear,erakond,kuu,partynr,news,newspercent
ref,.32,.286,2012,10,1,19,49,.3877551020408163,140.67,.078258394991451,9.1,-.1,3.5,3.8,.33,916.35,5.9,134.97,163.6,155.53,183.16,171.38,ref,2012m10,1,549,26,8590998043053
ref,.26,.286,2012,11,1,20,49,.4081632653061225,140.22,-.3198976327575025,9.1,-.1,3.5,3.8,.32,916.35,5.9,135.07,163.6,155.82,182.72,171.3,ref,2012m11,1,956,46,7710371819961
ref,.22,.286,2012,12,1,21,49,.4285714285714286,140.18,-.028526601055475,9.1,-.1,3.5,3.8,.26,916.35,5.9,135.26,162.21,153.58,183.06,171.29,ref,2012m12,1,1326,64,8727984344423
ref,.2,.286,2013,1,1,22,49,.4489795918367347,141.09,.649165358824348,10,1.2,3.6,3.9,.22,900.39,6.3,136.01,166.16,154.89,192.48,175.18,ref,2013m1,1,1012,49,5107632093933
ref,.23,.286,2013,2,1,23,49,.4693877551020408,142.03,.6662414061946294,10,1.2,3.6,3.9,.2,900.39,6.3,136.58,167.32,158.3,193.67,175.25,ref,2013m2,1,691,33,8062622309198
ref,.25,.286,2013,3,1,24,49,.4897959183673469,143.22,.8378511582060071,10,1.2,3.6,3.9,.23,900.39,6.3,137.99,171.28,162.97,194.44,176.1,ref,2013m3,1,650,31,8003913894325
ref,.25,.286,2013,4,1,25,49,.5102040816326531,143.35,.0907694456081458,8,-1.1,1,.8,.25,976.04,8.5,138.6,171.76,163.58,194.04,176.68,ref,2013m4,1,704,34,4422700587084
ref,.24,.286,2013,5,1,26,49,.5306122448979592,143.92,.3976281827694521,8,-1.1,1,.8,.25,976.04,8.5,138.89,172,164.3,192.81,177.48,ref,2013m5,1,712,34,8336594911937
ref,.24,.286,2013,6,1,27,49,.5510204081632653,144.73,.5628126737076116,8,-1.1,1,.8,.24,976.04,8.5,139.09,169.98,162.38,198.84,177.41,ref,2013m6,1,627,30,6751467710372
ref,.24,.286,2013,7,1,28,49,.5714285714285714,145.02,.2003731085469696,7.8,.5,.5,.3,.24,930.26,8.800000000000001,139.51,171.68,163.46,195.23,179.82,ref,2013m7,1,1300,63,600782778865
ref,.2,.286,2013,8,1,29,49,.5918367346938775,144.94,-.0551648048545133,7.8,.5,.5,.3,.24,930.26,8.800000000000001,139.96,170.64,161.85,197.57,182.44,ref,2013m8,1,359,17,5636007827789
ref,.21,.286,2013,9,1,30,49,.6122448979591837,144.21,-.50365668552503,7.8,.5,.5,.3,.2,930.26,8.800000000000001,140.56,171.63,163.86,198.99,183.37,ref,2013m9,1,541,26,46771037182
ref,.22,.286,2013,10,1,31,49,.6326530612244898,143.75,-.3189792663476965,8.699999999999999,.9,1.5,1.7,.21,986.29,7.6,140.67,170.94,163.6,198,183.16,ref,2013m10,1,842,41,1937377690802
ref,.18,.286,2013,11,1,32,49,.6530612244897959,143.1,-.452173913043481,8.699999999999999,.9,1.5,1.7,.22,986.29,7.6,140.22,171.62,163.6,196.24,182.72,ref,2013m11,1,1699,83,1213307240704
ref,.19,.286,2013,12,1,33,49,.673469387755102,143.05,-.0349406009783308,8.699999999999999,.9,1.5,1.7,.18,986.29,7.6,140.18,170.52,162.21,192.95,183.06,ref,2013m12,1,1074,52,5440313111546
ref,.24,.286,2014,1,1,34,49,.6938775510204082,143.31,.1817546312478129,8.5,.1,.5,.3,.19,966.2000000000001,7.3,141.09,174.86,166.16,193.43,192.48,ref,2014m1,1,623,30,4794520547945
ref,.21,.286,2014,2,1,35,49,.7142857142857143,143.64,.2302700439606298,8.5,.1,.5,.3,.24,966.2000000000001,7.3,142.03,177.41,167.32,191.73,193.67,ref,2014m2,1,624,30,5283757338552
ref,.24,.286,2014,3,1,36,49,.7346938775510205,144.23,.4107490949596127,8.5,.1,.5,.3,.21,966.2000000000001,7.3,143.22,178.07,171.28,191.31,194.44,ref,2014m3,1,997,48,7769080234834
ref,.25,.286,2014,4,1,37,49,.7551020408163265,144.5,.1872009984053307,7,.9,2.3,2,.24,1022.66,4.8,143.35,179.31,171.76,190.5,194.04,ref,2014m4,1,1836,89,8238747553816
ref,.29,.286,2014,5,1,38,49,.7755102040816326,144.83,.2283737024221466,7,.9,2.3,2,.25,1022.66,4.8,143.92,179.19,172,191.42,192.81,ref,2014m5,1,827,40,4598825831703
ref,.31,.286,2014,6,1,39,49,.7959183673469388,145.25,.289995166747218,7,.9,2.3,2,.29,1022.66,4.8,144.73,178.07,169.98,192.26,198.84,ref,2014m6,1,980,47,945205479452
ref,.31,.286,2014,7,1,40,49,.8163265306122449,145,-.1721170395869223,7.5,.4,2.4,2.2,.31,976.74,5,145.02,177.46,171.68,194.47,195.23,ref,2014m7,1,646,31,6046966731898
