party,support,last,year,month,gov,month_cycle,cycle_constant,cycle,inflats_m_basevalue,inflats_m,unemp,gdpgr,gdpgr_yearly,skp_yearly,support_lag1,bruto,bruto_yearly,inflats_prevyear_base,alko_suits_base,alko_suits_prevyear,eluase_base,eluase_prevyear,erakond,kuu
ref,.26,.278,2009,4,1,26,49,.5306122448979592,123.01,-.5979797979798036,13.2,-3,-17.5,-17.2,.33,812.73184,-4.4,121.91,138.31,116.39,148.29,143.95,ref,2009m4
ref,.25,.278,2009,5,1,27,49,.5510204081632653,123.05,.0325176814893098,13.2,-3,-17.5,-17.2,.26,812.73184,-4.4,122.65,137.98,116.43,146.33,144.42,ref,2009m5
ref,.25,.278,2009,6,1,28,49,.5714285714285714,122.81,-.1950426655830881,13.2,-3,-17.5,-17.2,.25,812.73184,-4.4,123.45,136.58,116.86,146.23,145.48,ref,2009m6
ref,.21,.278,2009,7,1,29,49,.5918367346938775,123.85,.8468365768259787,14.4,-2.2,-18.4,-19.3,.25,752.22668,-5.9,124.34,138.55,122.7,149.19,147.62,ref,2009m7
ref,.28,.278,2009,8,1,30,49,.6122448979591837,123.74,-.088817117480815,14.4,-2.2,-18.4,-19.3,.21,752.22668,-5.9,124.66,137.89,129.01,149.15,148.12,ref,2009m8
ref,.28,.278,2009,9,1,31,49,.6326530612244898,123.52,-.1777921448197759,14.4,-2.2,-18.4,-19.3,.28,752.22668,-5.9,125.62,137.13,138,149.75,148.21,ref,2009m9
ref,.31,.278,2009,10,1,32,49,.6530612244897959,123.42,-.0809585492227995,15.5,.1,-8.4,-9.5,.28,783.49865,-6.5,126.08,138.96,137.6,149.53,157.99,ref,2009m10
ref,.28,.278,2009,11,1,33,49,.673469387755102,123.11,-.251174850105329,15.5,.1,-8.4,-9.5,.31,783.49865,-6.5,125.81,139.17,138.81,148.97,160.22,ref,2009m11
ref,.3,.278,2009,12,1,34,49,.6938775510204082,123.26,.1218422548940055,15.5,.1,-8.4,-9.5,.28,783.49865,-6.5,125.61,138.78,138.53,148.6,159.94,ref,2009m12
ref,.35,.278,2010,1,1,35,49,.7142857142857143,123.61,.2839526204770522,19.5,1.2,-3.8,-3.3,.3,758.3117099999999,-2.3,124.85,141.18,138.78,150.26,160.45,ref,2010m1
ref,.31,.278,2010,2,1,36,49,.7346938775510204,123.93,.2588787314942209,19.5,1.2,-3.8,-3.3,.35,758.3117099999999,-2.3,124.33,141.21,138.77,150.46,156.42,ref,2010m2
ref,.35,.278,2010,3,1,37,49,.7551020408163265,125.46,1.234567901234556,19.5,1.2,-3.8,-3.3,.31,758.3117099999999,-2.3,123.75,141.32,138.29,152.36,151.96,ref,2010m3
ref,.32,.278,2010,4,1,38,49,.7755102040816326,126.09,.5021520803443451,18.3,2.2,1.3,1.8,.35,822.47901,1.2,123.01,142.8,138.31,152.98,148.29,ref,2010m4
ref,.34,.278,2010,5,1,39,49,.7959183673469388,126.45,.2855103497501688,18.3,2.2,1.3,1.8,.32,822.47901,1.2,123.05,142.29,137.98,154.24,146.33,ref,2010m5
ref,.35,.278,2010,6,1,40,49,.8163265306122449,126.95,.3954132068010949,18.3,2.2,1.3,1.8,.34,822.47901,1.2,122.81,142.92,136.58,155.23,146.23,ref,2010m6
ref,.37,.278,2010,7,1,41,49,.8367346938775511,127.26,.2441906262308038,15.4,1.5,5.1,5,.35,758.8869099999999,.9,123.85,143.97,138.55,155.54,149.19,ref,2010m7
ref,.39,.278,2010,8,1,42,49,.8571428571428571,127.22,-.031431714600032,15.4,1.5,5.1,5,.37,758.8869099999999,.9,123.74,145.03,137.89,156.54,149.15,ref,2010m8
ref,.38,.278,2010,9,1,43,49,.8775510204081632,128.21,.7781795315202231,15.4,1.5,5.1,5,.39,758.8869099999999,.9,123.52,148.39,137.13,157.75,149.75,ref,2010m9
ref,.41,.278,2010,10,1,44,49,.8979591836734694,128.92,.5537789563996256,13.6,2.5,7.7,6.3,.38,813.91484,3.9,123.42,149.26,138.96,157.38,149.53,ref,2010m10
ref,.43,.278,2010,11,1,45,49,.9183673469387755,129.32,.3102699348433049,13.6,2.5,7.7,6.3,.41,813.91484,3.9,123.11,148.74,139.17,158.14,148.97,ref,2010m11
ref,.36,.278,2010,12,1,46,49,.9387755102040817,129.94,.4794308691617744,13.6,2.5,7.7,6.3,.43,813.91484,3.9,123.26,148.33,138.78,158.93,148.6,ref,2010m12
ref,.36,.278,2011,1,1,47,49,.9591836734693877,129.91,-.0230875788825671,14.3,2.4,9,9,.36,792.34,4.5,123.61,148.56,141.18,157.85,150.26,ref,2011m1
ref,.28,.278,2011,2,1,48,49,.9795918367346939,130.78,.6696944038180277,14.3,2.4,9,9,.36,792.34,4.5,123.93,148.97,141.21,158.1,150.46,ref,2011m2
ref,,.286,2011,3,1,49,49,1,131.84,.8105214864658308,14.3,2.4,9,9,.28,792.34,4.5,125.46,152.69,141.32,158.29,152.36,ref,2011m3
ref,.31,.286,2011,4,1,1,49,.0204081632653061,132.9,.8040048543689409,13,1.7,8.4,8.1,,857.0700000000001,4.2,126.09,153.62,142.8,159.27,152.98,ref,2011m4
ref,.33,.286,2011,5,1,2,49,.0408163265306122,133.42,.3912716328066068,13,1.7,8.4,8.1,.31,857.0700000000001,4.2,126.45,154.65,142.29,160.65,154.24,ref,2011m5
ref,.33,.286,2011,6,1,3,49,.0612244897959184,133.22,-.1499025633338249,13,1.7,8.4,8.1,.33,857.0700000000001,4.2,126.95,154.17,142.92,162.55,155.23,ref,2011m6
ref,.31,.286,2011,7,1,4,49,.0816326530612245,133.96,.5554721513286296,10.7,2,8.800000000000001,9.9,.33,808.85,6.6,127.26,156.54,143.97,163.7,155.54,ref,2011m7
ref,.29,.286,2011,8,1,5,49,.1020408163265306,134.33,.2762018512989073,10.7,2,8.800000000000001,9.9,.31,808.85,6.6,127.22,155.05,145.03,168.27,156.54,ref,2011m8
ref,.31,.286,2011,9,1,6,49,.1224489795918367,135.08,.5583265093426633,10.7,2,8.800000000000001,9.9,.29,808.85,6.6,128.21,155.84,148.39,169.61,157.75,ref,2011m9
ref,.32,.286,2011,10,1,7,49,.1428571428571428,134.97,-.0814332247557132,11.3,.7,6.9,6.2,.31,865.15,6.3,128.92,155.53,149.26,171.38,157.38,ref,2011m10
ref,.31,.286,2011,11,1,8,49,.163265306122449,135.07,.0740905386382025,11.3,.7,6.9,6.2,.32,865.15,6.3,129.32,155.82,148.74,171.3,158.14,ref,2011m11
ref,.33,.286,2011,12,1,9,49,.1836734693877551,135.26,.140667801880511,11.3,.7,6.9,6.2,.31,865.15,6.3,129.94,153.58,148.33,171.29,158.93,ref,2011m12
